Symbol	MOLM-13	MV4-11	HL-60	OCI-AML2	OCI-AML3	HT1080_ENCODE	HT29_GSE41586
ACTL8	0.203838395	0.051574605	0.323935004	0.110218637	0.07590414	15.83877802	0
ACTL9	0	0	0	0	0	0	0
ACTN1	70.76957949	168.6700927	63.8056293	99.60686978	149.1902241	122.9252352	27.03307443
ACTN1-AS1	0	0.264165323	0.120540758	0.295890318	0.156587356	0.075452277	0.037098037
ACTN2	0.098793185	0	0.105956984	0.013501099	0.05818151	1.481622696	0.002140571
ACTN3	0	0.016450369	0	0	0	0.002285608	0.016338132
ACTN4	131.0630572	92.70189265	120.2196354	120.1173871	92.69935391	223.9451734	186.4694918
ACTR10	15.25096317	21.25881522	15.1735841	17.01394947	22.78785586	14.14419874	5.385345502
ACTR1A	34.13073152	48.01359001	43.04306683	40.73698283	43.80223223	61.5644758	16.07673159
ACTR1B	36.75616306	17.62607954	34.31667497	46.23467806	21.98188095	24.41482403	14.73988942
ACTR2	200.9742987	296.7709397	248.6325921	251.1846605	324.7369302	43.6482702	45.78507297
ACTR3	74.25644242	78.84087911	95.45572296	80.54883855	90.69191903	59.49064438	25.36396543
ACTR3B	5.77721386	10.45050991	4.533379965	3.798850077	10.9759776	1.534009208	5.323861495
ACTR3BP2	0	0	0	0	0	0	0.013443637
ACTR3BP5	0	0	0	0	0	0	0
ACTR3C	0.46676811	0.050832127	0.023926839	0.023669092	0.025179415	0	6.295954495
ACTR5	7.500064757	5.643780245	6.936345688	6.360679877	5.560138864	5.721887001	4.616303975
ACTR6	16.89987173	16.5375252	16.28198169	13.96407259	20.3161093	9.479833339	4.099235016
ACTR8	9.13818937	9.10084325	10.37289023	6.260958685	9.058604627	10.19924531	3.588540204
ACTRT1	0	0	0	0	0	0	0.007981633
ACTRT2	0	0	0	0	0	0	0.012385672
ACTRT3	0.14684902	0.251342253	0.704347933	0.308298777	0.351135378	0	0.503817815
ACVR1	2.18424699	1.361482745	0.331500599	1.822748691	1.769499204	6.249333565	9.808702753
ACVR1B	6.230935002	5.158046521	8.294259712	9.618638699	5.272470861	3.555251319	4.941543066
ACVR1C	0.005951559	0.018808534	0.005597397	0.047321792	0.06619013	0.050007519	0.061154036
ACVR2A	0.22230113	0.329561267	0.247746976	0.182084976	0.332463293	2.060639499	1.935968011
ACVR2B	0.780435735	1.141877578	1.058583416	1.387610158	1.044006507	1.436994585	0.646744875
ACVR2B-AS1	0.194646691	0.321349327	0.152776247	0.247158197	0.339579023	0.497355487	0.703969284
ACVRL1	1.138035356	1.589574172	0.330153592	1.365286146	1.592220161	0.616708241	0.34900948
ACY1	35.83226633	46.03756921	22.03279512	29.96571049	44.81356616	44.86494117	14.03479437
ACY3	0.128964739	0.038726274	0.180452687	1.824856556	0.019263822	0	0.325855924
ACYP1	20.11721147	12.95158467	6.35951795	25.30272692	10.80943715	15.50574943	5.561341389
ACYP2	3.119055984	3.608840878	4.034433087	0.768308612	3.10660917	1.36334843	4.146637258
ADA	38.14707252	8.954127419	12.29229862	6.741105833	7.245630912	5.101430509	0.096856521
ADAD1	0	0	0	0	0	0	0.010036376
ADAD2	0	0	0.024319317	0	0	0	0
ADAL	2.489735851	2.613000579	1.585425191	2.827345219	2.516763813	3.304678852	3.498380882
ADAM10	21.23551073	36.77247789	21.44396395	36.43321046	39.06601685	23.96704862	22.21041892
ADAM11	0.076298692	0.869011437	0.068348543	0.610577574	1.109032311	1.700030104	0.051642756
ADAM12	0	0	0.006438042	0.002716669	0	0.396966445	0.095480938
ADAM15	39.96680588	53.63406853	88.130474	49.93269485	54.70386432	81.92687182	23.90345948
ADAM17	11.30572381	6.925763272	8.278248085	8.818593221	6.199769693	21.95620071	9.35098503
ADAM18	0	0	0	0	0	0	0
ADAM19	0	0.013826039	0.007236666	0	0.092782408	18.43843653	7.915904754
ADAM1A	1.600439357	2.646955313	3.18387147	1.753906762	2.019879853	0.871336036	4.508139172
ADAM2	0	0	0	0	0	0	0
ADAM20	0.035944062	0.016181174	0.009632252	0.007831864	0.008341792	0.042775875	0.188929619
ADAM20P1	0.086398764	0.031141449	0.014458461	0.043693102	0.009357461	0.058121264	0.434583777
ADAM21	0.010514853	0	0.016743212	0.017179927	0	0.621725906	0.10164207
ADAM21P1	0	0	0.011133788	0	0	0.197733857	0.013457658
ADAM22	1.339243961	0.255535663	0.122808634	2.457456181	0.180020979	2.852830438	0.883938268
ADAM23	0	0	0.008358448	1.32588091	0	0.963312089	0
ADAM28	0.170860453	0.361801633	0.429334631	0.269011284	0.304222866	0.105194634	0.369409097
ADAM29	0	0.201849039	0	0	0.142895056	0	0
ADAM30	0	0	0	0	0	0	0
ADAM32	0.540707646	0.384169943	0.026123265	0.008030487	0.343934489	0.330791415	0.17478798
ADAM33	0.037276506	0.087476388	0.021554252	0.045001654	0.038166464	0.189050774	0.217201483
ADAM3A	0.05024521	0	0	0.009127334	0	0.019760345	0.025430824
ADAM5	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0
ADAM8	2.685513545	1.720090325	2.802707852	16.0666664	1.004761295	1.570186955	15.32370345
ADAM9	26.12032528	14.7347197	12.71307188	15.14226549	17.36666539	50.00403776	15.46783018
ADAMDEC1	0.600052314	0.062984757	2.058041945	0.089979173	0.036985953	0	0.004956399
ADAMTS1	1.004615857	8.294368166	15.4289179	1.613711243	9.455979622	0.022461383	0
ADAMTS10	1.727340227	0.694402696	0.148147643	2.661321076	0.503897506	0	0.008012494
ADAMTS12	0	0.046461238	0	0	0.055753939	0.110968637	0.005389823
ADAMTS13	0.075074624	0.747591454	0.121923939	0.219317001	0.530512309	0.08755624	1.310226121
ADAMTS14	0.102073437	0.017039773	0	0.024453871	0.009616713	0.008409675	0.061000703
ADAMTS15	0.004296025	0	0	0.018863343	0	0.032647619	0.002834487
ADAMTS16	0	0	0	0	0	2.001195433	0.007673279
ADAMTS17	0.116065272	0.077026014	0.175987661	0.020818859	0.042620861	0.06583924	0.263159145
ADAMTS18	0.013641335	0	0	0.01431552	0.003811899	0.102514714	0.034078283
ADAMTS19	0	0	0	0	0	0.064093061	0.003746779
ADAMTS19-AS1	0	0	0	0	0	0.258399365	0
ADAMTS2	0.217321387	9.398701323	0.140799097	0.254833286	10.97234144	0.651688708	0.767462774
ADAMTS20	0.008960333	0	0.039104896	0	0	0.003423474	0
ADAMTS3	0	0.035466998	0	0	0.004763918	2.222775073	0
ADAMTS4	0.189974659	0.220579428	0.137306034	0.215319524	0.112133526	0.266706706	0.453377374
ADAMTS5	0.070705314	0.739293696	0.138871613	0.163806536	0.73197061	0.000611999	0
ADAMTS6	0.250195333	0.018595148	0.019465715	0.0381819	0.027494636	6.995537619	0.504960556
ADAMTS7	0.028337487	0.061544524	0.048614343	0	0.119853074	0.217303678	0.055348414
ADAMTS7P1	0	0.004425908	0.004333927	0.004284375	0	0.003957946	0.01283185
ADAMTS8	0	0.006074875	0	0.006103783	0.029363054	0	0.004451764
ADAMTS9	0.047972252	0.088974663	0	0	0.988251057	0.565839456	0.013660856
ADAMTS9-AS1	0.00672416	0	0	0	0.006588342	0.005624441	0
ADAMTS9-AS2	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0.44437495	0.023545656
ADAMTSL2	0.084907789	0.145181645	0.060073963	0.130299826	0.101009758	0.130037582	0.334731824
