id	num	lo.neg	p.neg	fdr.neg	rank.neg	goodsgrna.neg	lo.pos	p.pos	fdr.pos	rank.pos	goodsgrna.pos	-log10(P neg)	log10(fpkm)	
ACTRT2	5	0.90807	0.90946	1	15057	0	0.026933	0.082076	0.762222	1935	4	0.041216397	-3.7	
ADAD1	5	0.23138	0.41543	1	5670	3	0.1013	0.22978	0.900451	4595	2	0.381502144	-3.7	
ADAD2	5	0.55888	0.69589	1	9992	2	0.59516	0.7286	1	12044	2	0.157459404	-3.7	
ADAM18	5	0.90912	0.91049	1	15090	0	0.019551	0.062618	0.717762	1570	2	0.04072482	-3.7	
ADAM19	5	0.84239	0.84932	1	13466	1	0.34578	0.52246	1	9061	2	0.070928649	-3.7	
ADAM2	5	0.2419	0.42521	1	5766	2	0.50423	0.65219	1	10910	2	0.37139653	-3.7	
ADAM29	5	0.96904	0.96924	1	16796	0	0.24806	0.43845	1	7871	3	0.013568671	-3.7	
ADAM30	5	0.844	0.85065	1	13501	1	0.74472	0.79464	1	13037	1	0.070249094	-3.7	
ADAM7	5	0.16568	0.32269	1	4595	2	0.43816	0.59753	1	10122	2	0.491214493	-3.7	
ADAMTS12	5	0.89823	0.89985	1	14800	0	0.040754	0.11686	0.797801	2638	3	0.045829879	-3.7	
ADAMTS16	5	0.81653	0.83015	1	13008	1	0.1921	0.36269	0.975058	6698	3	0.080843428	-3.7	
ADAMTS19	5	0.99763	0.99763	1	17875	0	0.0018345	0.0078902	0.522405	272	5	0.0010305	-3.7	
ADAMTS20	5	0.65896	0.74249	1	10932	1	0.24792	0.43827	1	7866	3	0.129309391	-3.7	
ADAMTS3	5	0.33988	0.50771	1	6727	2	0.45204	0.60908	1	10305	2	0.294384283	-3.7	
ADAMTS7	5	0.80508	0.82225	1	12800	1	0.012175	0.042332	0.669905	1138	4	0.084996118	-3.7	
ADAMTS9	5	0.27543	0.45345	1	6042	1	0.099191	0.2265	0.900451	4524	3	0.343470594	-3.7	
ADAMTSL1	5	0.52217	0.66358	1	9331	1	0.061357	0.16544	0.83441	3568	2	0.178106712	-3.7	
ADAMTSL3	5	0.95489	0.95521	1	16367	0	0.01657	0.054633	0.703831	1397	4	0.01990114	-3.7	
ADCY10	5	0.81419	0.82853	1	12970	1	0.42576	0.58729	1	9995	1	0.081691762	-3.7	
ADCY6	5	0.19241	0.36139	1	5028	3	0.47607	0.6288	1	10600	1	0.442023869	-3.7	
ADCY8	5	0.80615	0.82298	1	12818	1	0.22034	0.40142	0.990513	7297	3	0.084610719	-3.7	
ADCYAP1	5	0.7444	0.78534	1	11903	1	0.1141	0.24947	0.91483	4911	2	0.104942282	-3.7	
ADH1A	5	0.8307	0.84036	1	13240	1	0.36537	0.53823	1	9291	2	0.075534628	-3.7	
ADH1B	5	0.32379	0.49397	1	6541	2	0.76761	0.80676	1	13220	1	0.306299426	-3.7	
ADH6	5	0.97306	0.97308	1	16936	0	0.021881	0.068702	0.735346	1680	4	0.011851454	-3.7	
ADH7	5	0.98107	0.98103	1	17204	0	0.80146	0.82618	1	13500	1	0.008317712	-3.7	
ADIG	5	0.55297	0.69069	1	9870	2	0.82173	0.83888	1	13718	1	0.160716832	-3.7	
ADRA1D	5	0.59685	0.71568	1	10401	1	0.27431	0.46474	1	8247	2	0.145281119	-3.7	
ADRA2B	5	0.45332	0.60457	1	8251	2	0.16873	0.32978	0.958365	6197	3	0.218553407	-3.7	
ADRA2C	5	0.72837	0.77658	1	11711	1	0.40685	0.57183	1	9796	2	0.109813798	-3.7	
AFAP1L2	5	0.82673	0.8375	1	13182	1	0.03469	0.10186	0.780344	2350	4	0.077015184	-3.7	
AFM	5	0.82948	0.83945	1	13225	1	0.0011341	0.0049901	0.472343	190	2	0.076005167	-3.7	
AFP	5	0.44289	0.59562	1	8094	2	0.07501	0.1883	0.861546	3936	2	0.225030728	-3.7	
AGBL1	5	0.63285	0.73072	1	10710	1	0.87708	0.88039	1	14430	1	0.136249006	-3.7	
AGR2	5	0.99119	0.99126	1	17570	0	0.042008	0.11998	0.799894	2700	4	0.003812418	-3.7	
AGR3	5	0.71129	0.76767	1	11497	1	0.15586	0.31134	0.948713	5910	2	0.114825431	-3.7	
AGTR1	5	0.83472	0.84339	1	13320	1	0.2798	0.46918	1	8310	1	0.073971553	-3.7	
AGTR2	5	0.93274	0.93339	1	15713	0	0.19078	0.36088	0.974964	6662	2	0.029936856	-3.7	
AGXT	5	0.90326	0.90474	1	14915	0	0.0052976	0.021443	0.596712	642	3	0.043476208	-3.7	
AGXT2	5	0.80399	0.82152	1	12777	1	0.24734	0.4375	1	7847	3	0.085381859	-3.7	
AHSG	5	0.39459	0.55399	1	7407	2	0.82929	0.84388	1	13810	1	0.256498075	-3.7	
AHSP	5	0.98609	0.98609	1	17388	0	0.56985	0.70698	1	11723	1	0.006083445	-3.7	
AK8	5	0.56196	0.69861	1	10042	2	0.41101	0.5752	1	9837	1	0.155765202	-3.7	
AKAP14	7	0.84	0.84747	1	13418	1	0.0066052	0.026127	0.606353	776	4	0.071875667	-3.7	
AKAP3	5	0.3834	0.54455	1	7260	1	0.25359	0.44578	1	7978	3	0.263962238	-3.7	
AKAP4	5	0.42008	0.57596	1	7759	1	0.087987	0.2089	0.879819	4276	3	0.239607677	-3.7	
AKAP6	5	0.68918	0.75674	1	11249	1	0.15344	0.30792	0.948094	5845	3	0.121053309	-3.7	
AKNAD1	5	0.851	0.8563	1	13655	1	0.1135	0.24854	0.913286	4901	2	0.067374056	-3.7	
AKR1E2	5	0.82569	0.83677	1	13164	1	0.22987	0.41422	0.993993	7502	3	0.077393899	-3.7	
ALB	5	0.99773	0.9977	1	17881	0	0.0022699	0.0096299	0.550113	313	5	0.001000028	-3.7	
ALDH1A2	5	0.42555	0.58069	1	7844	1	0.83153	0.84536	1	13835	1	0.236055653	-3.7	
ALDH1L1	5	0.80343	0.82115	1	12765	1	0.00083178	0.0036893	0.451821	144	4	0.085577503	-3.7	
ALDH3B2	5	0.81189	0.82692	1	12933	1	0.082936	0.20106	0.873234	4146	3	0.082536504	-3.7	
ALK	5	0.28886	0.46477	1	6174	2	0.02621	0.080158	0.758198	1903	3	0.332761913	-3.7	
ALLC	5	0.9256	0.92644	1	15524	0	0.22889	0.4129	0.993137	7486	3	0.033182702	-3.7	
ALOX12B	5	0.56194	0.69859	1	10040	2	0.32294	0.50402	1	8780	2	0.155777635	-3.7	
ALOXE3	5	0.9036	0.90505	1	14928	0	0.93936	0.93999	1	15450	0	0.043327427	-3.7	
ALPI	5	0.25723	0.4381	1	5894	2	0.020856	0.066031	0.728864	1631	3	0.358426747	-3.7	
ALPK2	5	0.6587	0.74237	1	10931	1	0.84314	0.8536	1	13983	1	0.129379587	-3.7	
ALPL	5	0.89559	0.89728	1	14713	0	0.047015	0.13192	0.808397	2936	4	0.047072012	-3.7	
ALPPL2	3	0.66745	0.74638	1	11026	1	0.61877	0.73927	1	12187	1	0.127040006	-3.7	
ALX4	5	0.73985	0.78282	1	11844	1	0.060547	0.16357	0.83441	3528	4	0.106338087	-3.7	
AMBN	5	0.8528	0.85776	1	13697	1	0.00024802	0.001173	0.349242	60	3	0.06663421	-3.7	
AMBP	5	0.99102	0.99109	1	17567	0	0.030812	0.092041	0.769882	2147	4	0.003886906	-3.7	
AMELX	6	0.94527	0.94579	1	16080	0	0.053672	0.14773	0.825534	3220	4	0.024205282	-3.7	
AMELY	5	0.38643	0.54709	1	7306	1	0.36228	0.53581	1	9261	2	0.261941223	-3.7	
AMHR2	5	0.96112	0.96137	1	16551	0	0.25352	0.44568	1	7976	3	0.017109434	-3.7	
AMIGO2	5	0.97493	0.97493	1	16991	0	0.15385	0.30848	0.948094	5856	3	0.011026566	-3.7	
AMOTL2	5	0.67382	0.74934	1	11094	1	0.014911	0.050045	0.693597	1299	4	0.125321084	-3.7	
AMTN	5	0.91458	0.91582	1	15228	0	0.058318	0.15851	0.831872	3430	4	0.038189876	-3.7	
AMY1B	1	0.16091	0.31564	1	4508	1	0.83909	0.85071	1	13943	0	0.500807965	-3.7	
ANGPTL3	5	0.93856	0.93921	1	15889	0	0.58265	0.7178	1	11886	2	0.027237292	-3.7	
ANGPTL5	5	0.83562	0.84405	1	13331	1	0.71121	0.77834	1	12781	1	0.073631826	-3.7	
ANGPTL7	5	0.96628	0.96652	1	16708	0	0.044957	0.12702	0.804993	2841	4	0.014789155	-3.7	
ANHX	5	0.8549	0.85949	1	13742	1	0.059154	0.1604	0.833733	3463	2	0.065759172	-3.7	
ANKFN1	5	0.97135	0.97142	1	16861	0	0.44583	0.60391	1	10224	2	0.012592959	-3.7	
ANKRD30A	5	0.96798	0.96823	1	16770	0	0.51705	0.66279	1	11081	2	0.014021465	-3.7	
ANKRD30B	5	0.45037	0.60208	1	8198	1	0.15403	0.30874	0.948094	5864	2	0.220345799	-3.7	
ANKRD33	5	0.55482	0.6923	1	9917	2	0.1477	0.29957	0.943991	5715	1	0.159705668	-3.7	
ANKRD34C	5	0.87746	0.87965	1	14253	1	0.90954	0.91091	1	14901	0	0.055690093	-3.7	
ANKRD65	9	0.072156	0.17801	0.972973	3294	4	0.036364	0.10605	0.785762	2430	4	0.7495556	-3.7	
ANO3	5	0.33988	0.50771	1	6726	1	0.15788	0.31424	0.949989	5957	1	0.294384283	-3.7	
ANO5	5	0.89738	0.89906	1	14768	0	0.47089	0.62464	1	10532	1	0.046211324	-3.7	
ANP32D	5	0.87036	0.87299	1	14092	1	0.28939	0.47705	1	8426	2	0.058990731	-3.7	
ANXA13	5	0.38333	0.54449	1	7259	2	0.97566	0.97581	1	16221	0	0.264010092	-3.7	
AOC1	5	0.46503	0.61449	1	8442	1	0.17268	0.33538	0.963737	6266	3	0.21148518	-3.7	
AP1M2	5	0.43671	0.59031	1	8017	2	0.49527	0.64474	1	10802	2	0.22891986	-3.7	
APCDD1L	5	0.79236	0.8139	1	12587	1	0.19703	0.36957	0.980219	6786	3	0.089428952	-3.7	
APCS	5	0.8807	0.88271	1	14318	1	0.10796	0.24007	0.909241	4754	3	0.054181953	-3.7	
APOA4	5	0.11001	0.23903	1	3784	3	0.49671	0.64591	1	10821	2	0.621547589	-3.7	
APOA5	5	0.47175	0.62024	1	8549	1	0.028984	0.087377	0.766354	2048	4	0.207440229	-3.7	
APOB	5	0.70965	0.76684	1	11473	1	0.19883	0.37207	0.980628	6831	3	0.115295241	-3.7	
APOBEC1	5	0.465	0.61446	1	8441	2	0.48245	0.63407	1	10660	2	0.211506383	-3.7	
APOBEC4	5	0.90474	0.9062	1	14962	0	0.87304	0.87689	1	14375	1	0.042775942	-3.7	
APOC3	5	0.12347	0.25997	1	3981	2	0.19544	0.36735	0.977907	6765	2	0.585076766	-3.7	
APOD	5	0.89839	0.9	1	14803	0	0.13179	0.27634	0.931921	5340	2	0.045757491	-3.7	
APOH	5	0.75413	0.79078	1	12037	1	0.35173	0.52721	1	9127	1	0.101944323	-3.7	
APOL5	5	0.99447	0.99453	1	17720	0	0.0055343	0.022321	0.596712	661	5	0.002382112	-3.7	
AQP10	5	0.42785	0.5827	1	7888	1	0.18539	0.35328	0.972499	6542	3	0.234554982	-3.7	
AQP12B	5	0.050154	0.13911	0.838408	2988	2	0.70795	0.77683	1	12762	1	0.856641649	-3.7	
AQP2	5	0.87224	0.87472	1	14129	1	0.17357	0.3367	0.964327	6286	1	0.058130943	-3.7	
AQP5	5	0.81403	0.82841	1	12967	1	0.23418	0.42004	0.996444	7591	2	0.081754667	-3.7	
AQP7	3	0.67665	0.75068	1	11126	1	0.70257	0.77435	1	12726	1	0.124545155	-3.7	
AQP8	5	0.82636	0.83723	1	13172	1	0.094024	0.21847	0.8912	4414	3	0.077155218	-3.7	
AQP9	5	0.96768	0.96796	1	16756	0	0.10674	0.2382	0.908182	4723	2	0.014142589	-3.7	
ARC	5	0.56577	0.70193	1	10103	1	0.15466	0.30963	0.948094	5880	2	0.153706196	-3.7	
ARHGAP28	5	0.30033	0.47435	1	6294	2	0.66288	0.75687	1	12453	1	0.323901095	-3.7	
ARHGAP36	5	0.058681	0.15555	0.899291	3115	1	0.0156	0.051946	0.694004	1347	3	0.808129985	-3.7	
ARHGAP6	5	0.9981	0.99809	1	17901	0	0.0019008	0.0081648	0.528919	278	5	0.000830296	-3.7	
ARHGDIG	5	0.70251	0.76328	1	11391	1	0.52719	0.67119	1	11218	2	0.117316117	-3.7	
ARHGEF15	5	0.85114	0.8564	1	13659	1	0.083518	0.20197	0.873625	4162	3	0.067323341	-3.7	
ARHGEF16	5	0.46518	0.6146	1	8443	2	0.067921	0.17674	0.84906	3746	3	0.211407444	-3.7	
ARHGEF35	5	0.19284	0.36202	1	5034	3	0.98595	0.98599	1	16535	0	0.441267436	-3.7	
ARHGEF37	5	0.79579	0.81612	1	12648	1	0.0050557	0.020545	0.596712	616	3	0.088245979	-3.7	
ARHGEF38	5	0.16983	0.32875	1	4667	2	0.047336	0.13272	0.809462	2952	2	0.483134239	-3.7	
ARHGEF4	5	0.80558	0.82257	1	12809	1	0.41346	0.5772	1	9869	1	0.084827134	-3.7	
ARHGEF5	5	0.0078076	0.028866	0.277109	1876	4	0.9852	0.98526	1	16515	0	1.539613393	-3.7	
ARL14	5	0.49307	0.6384	1	8880	2	0.14247	0.29195	0.940892	5585	2	0.194907122	-3.7	
ARL14EPL	5	0.87411	0.87644	1	14170	1	0.037234	0.10824	0.7876	2474	4	0.05727781	-3.7	
ARMC3	5	0.99258	0.99268	1	17620	0	0.052069	0.14401	0.821458	3155	4	0.003190728	-3.7	
ARMCX2	5	0.89513	0.89684	1	14703	0	0.082725	0.20069	0.872153	4144	3	0.04728503	-3.7	
ARMS2	5	0.99507	0.99511	1	17747	0	0.0049319	0.020068	0.596712	605	5	0.002128909	-3.7	
ARRDC4	5	0.51573	0.65795	1	9227	1	0.87137	0.87545	1	14348	1	0.181807109	-3.7	
ARSH	5	0.16974	0.32863	1	4665	3	0.10252	0.23164	0.902173	4624	2	0.483292793	-3.7	
ARSJ	5	0.55248	0.69025	1	9861	2	0.94324	0.94385	1	15526	0	0.160993585	-3.7	
ART1	5	0.9245	0.92536	1	15497	0	0.95176	0.9523	1	15698	0	0.033689277	-3.7	
ART4	5	0.97784	0.97781	1	17091	0	0.014741	0.049551	0.691463	1290	4	0.009745526	-3.7	
ART5	5	0.93274	0.93339	1	15727	0	0.035022	0.10271	0.780364	2368	3	0.029936856	-3.7	
ARX	5	0.808	0.82424	1	12856	1	0.13245	0.27731	0.93204	5356	3	0.083946313	-3.7	
ASAH2	5	0.99597	0.99601	1	17796	0	0.0040314	0.016627	0.590431	499	5	0.001736301	-3.7	
ASAH2B	5	0.58425	0.71068	1	10295	1	0.70636	0.77608	1	12748	1	0.148325906	-3.7	
ASAP3	5	0.11231	0.24262	1	3811	2	0.10152	0.2301	0.900636	4601	1	0.615073402	-3.7	
ASB10	5	0.95431	0.95461	1	16354	0	0.13729	0.28443	0.935568	5475	3	0.020174021	-3.7	
ASB12	5	0.37137	0.53432	1	7102	1	0.05743	0.15643	0.829717	3395	4	0.27219857	-3.7	
ASB15	5	0.99936	0.99935	1	17960	0	0.00020291	0.00096129	0.32059	54	5	0.000282383	-3.7	
ASB17	5	0.6362	0.73215	1	10732	1	0.18918	0.35861	0.974964	6620	2	0.135399933	-3.7	
ASB18	5	0.86765	0.87051	1	14026	1	0.1162	0.25272	0.917916	4955	1	0.060226236	-3.7	
ASB5	5	0.84523	0.85162	1	13528	1	0.64075	0.74774	1	12309	1	0.069754148	-3.7	
ASCL1	5	0.13871	0.28293	1	4191	2	0.069702	0.17965	0.851447	3798	3	0.548321	-3.7	
ASCL4	5	0.53586	0.67557	1	9570	2	0.067315	0.17583	0.848186	3731	3	0.170329644	-3.7	
ASIC2	5	0.43322	0.58734	1	7966	1	0.1294	0.27271	0.928381	5288	3	0.231110421	-3.7	
ASIC5	5	0.96933	0.96951	1	16803	0	0.18328	0.35034	0.970445	6501	3	0.013447707	-3.7	
ASPA	5	0.80361	0.82126	1	12768	1	0.94412	0.9447	1	15541	0	0.085519329	-3.7	
ASPDH	5	0.54311	0.68197	1	9687	2	0.031215	0.093059	0.769882	2170	1	0.16623473	-3.7	
ASPG	5	0.61279	0.7222	1	10528	1	0.33923	0.51712	1	8971	2	0.141342516	-3.7	
ASTN1	5	0.11895	0.253	1	3914	2	0.56906	0.70631	1	11712	1	0.596879479	-3.7	
ASXL3	5	0.37692	0.53902	1	7178	2	0.85406	0.86161	1	14143	1	0.26839512	-3.7	
ASZ1	5	0.92054	0.9216	1	15391	0	0.58114	0.71646	1	11867	2	0.035457534	-3.7	
ATOH1	5	0.43563	0.58937	1	7998	2	0.0099098	0.035749	0.649103	991	2	0.229611974	-3.7	
ATOH7	5	0.85454	0.85919	1	13734	1	0.81373	0.83373	1	13631	1	0.065910786	-3.7	
ATP10B	5	0.96051	0.96077	1	16533	0	0.026483	0.08087	0.760933	1913	4	0.017380566	-3.7	
ATP13A5	5	0.85294	0.85787	1	13700	1	0.0026729	0.011258	0.553741	364	4	0.066578519	-3.7	
ATP4A	5	0.99462	0.99466	1	17728	0	0.0053817	0.021751	0.596712	648	5	0.002325347	-3.7	
ATP4B	5	0.55085	0.68881	1	9833	2	0.77705	0.81199	1	13281	1	0.161900557	-3.7	
ATP6V0A4	5	0.33153	0.5005	1	6624	1	0.036609	0.10665	0.786442	2442	3	0.300595918	-3.7	
ATP6V1B1	5	0.68993	0.7571	1	11256	1	0.16662	0.32673	0.956324	6151	2	0.120846754	-3.7	
ATP6V1G3	6	0.82659	0.8374	1	13178	1	0.28744	0.47543	1	8401	2	0.077067043	-3.7	
ATRNL1	5	0.98773	0.98778	1	17445	0	0.0025227	0.010636	0.552284	345	4	0.005339771	-3.7	
ATXN3L	5	0.4532	0.60448	1	8248	2	0.0040241	0.016603	0.590431	497	2	0.218618064	-3.7	
AVP	5	0.54487	0.6835	1	9723	2	0.23711	0.42397	0.99768	7653	2	0.165261481	-3.7	
AVPR1B	5	0.016425	0.053413	0.444709	2163	4	0.98897	0.98909	1	16639	0	1.272353029	-3.7	
AWAT1	5	0.8505	0.85586	1	13643	1	0.46366	0.6187	1	10440	2	0.067597271	-3.7	
AWAT2	5	0.8918	0.89357	1	14620	0	0.08567	0.20528	0.879034	4205	3	0.04887142	-3.7	
AXIN2	5	0.50987	0.65283	1	9140	1	0.021962	0.068917	0.735346	1685	4	0.185199896	-3.7	
AZGP1	5	0.077392	0.18655	0.998116	3366	3	0.98238	0.98247	1	16431	0	0.729204747	-3.7	
B3GALT1	5	0.66754	0.74643	1	11027	1	0.063084	0.16891	0.838599	3627	1	0.127010914	-3.7	
B3GALT5	5	0.93714	0.93781	1	15844	0	8.00E-05	0.00037248	0.21372	30	4	0.027885141	-3.7	
B3GAT1	5	0.91113	0.9125	1	15134	0	0.19158	0.36199	0.974964	6679	3	0.039767127	-3.7	
B3GAT2	5	0.95764	0.95788	1	16449	0	0.10415	0.23417	0.904986	4660	2	0.018688894	-3.7	
B4GALNT1	5	0.16596	0.32306	1	4602	3	0.20654	0.38271	0.984312	7001	1	0.490716811	-3.7	
B4GALNT2	5	0.85094	0.85624	1	13653	1	0.19432	0.36581	0.976498	6743	1	0.067404488	-3.7	
B4GALNT4	5	0.10778	0.23548	1	3750	1	0.13541	0.28164	0.934065	5430	3	0.628045973	-3.7	
BAI3	5	0.3937	0.55325	1	7392	2	0.44271	0.60131	1	10186	1	0.257078577	-3.7	
BANF2	6	0.68319	0.75384	1	11192	1	0.0055107	0.022221	0.596712	659	5	0.122720822	-3.7	
BARHL1	5	0.97206	0.97209	1	16895	0	0.25507	0.44767	1	8000	3	0.012293524	-3.7	
BARHL2	5	0.9508	0.95118	1	16242	0	0.17934	0.34486	0.969366	6406	2	0.02173729	-3.7	
BBOX1	5	0.94852	0.9489	1	16173	0	0.096177	0.22184	0.897296	4452	2	0.022779553	-3.7	
BCHE	5	0.74176	0.78391	1	11872	1	0.22537	0.40821	0.991173	7416	2	0.105733795	-3.7	
BCL11B	5	0.9864	0.9864	1	17402	0	0.043583	0.12375	0.80276	2774	4	0.005946936	-3.7	
BCL2L10	5	0.15877	0.31255	1	4470	3	0.52334	0.66802	1	11168	2	0.505080497	-3.7	
BCL2L14	5	0.99913	0.99913	1	17951	0	0.00087001	0.0038647	0.451821	149	5	0.000378001	-3.7	
BCMO1	5	0.80493	0.82216	1	12796	1	0.80726	0.82969	1	13569	1	0.085043656	-3.7	
BDKRB2	5	0.82624	0.83714	1	13169	1	0.043739	0.12414	0.80276	2783	4	0.077201906	-3.7	
BDNF	5	0.11493	0.24673	1	3853	3	0.95096	0.95147	1	15684	0	0.607778041	-3.7	
BEND7	5	0.89183	0.89361	1	14623	0	0.31706	0.49934	1	8732	2	0.04885198	-3.7	
BEST2	5	0.88299	0.88492	1	14378	0	0.80597	0.82888	1	13556	1	0.053095989	-3.7	
BEX2	5	0.7886	0.81154	1	12525	1	0.038301	0.11088	0.790251	2525	3	0.090690069	-3.7	
BEX4	5	0.94055	0.94115	1	15946	0	0.22162	0.40315	0.991065	7324	3	0.026341153	-3.7	
BEX5	5	0.90912	0.91049	1	15081	0	0.0025202	0.010625	0.552284	344	3	0.04072482	-3.7	
BHLHA15	5	0.52486	0.66593	1	9387	2	0.2427	0.43137	1	7755	2	0.17657142	-3.7	
BHLHA9	5	0.86793	0.87076	1	14032	1	0.86052	0.86668	1	14214	1	0.060101529	-3.7	
BHMT	5	0.94365	0.94418	1	16035	0	0.36207	0.53563	1	9258	2	0.024945203	-3.7	
BIRC7	5	0.97143	0.9715	1	16866	0	0.037829	0.1097	0.790004	2498	3	0.012557195	-3.7	
BIRC8	5	0.53615	0.67582	1	9575	2	0.95132	0.95184	1	15692	0	0.17016896	-3.7	
BLID	5	0.67247	0.74869	1	11078	1	0.065698	0.17315	0.843906	3695	3	0.125697968	-3.7	
BLK	5	0.94148	0.94206	1	15973	0	0.15872	0.31546	0.950569	5975	3	0.025921436	-3.7	
BMP15	5	0.99554	0.99558	1	17777	0	0.004461	0.018246	0.595396	547	5	0.001923836	-3.7	
BMP4	5	0.20951	0.38531	1	5285	3	0.53042	0.67386	1	11255	1	0.41418972	-3.7	
BMP5	5	0.21881	0.39822	1	5455	3	0.70098	0.7736	1	12718	1	0.399876932	-3.7	
BMP6	5	0.85906	0.86298	1	13823	1	0.10167	0.23034	0.900983	4604	2	0.063999269	-3.7	
BNC1	5	0.047636	0.13307	0.814713	2941	3	0.45194	0.60899	1	10302	1	0.875919843	-3.7	
BOLL	5	0.97021	0.97035	1	16829	0	0.032446	0.096153	0.770706	2241	4	0.01307159	-3.7	
BPIFA1	5	0.52667	0.66748	1	9421	1	0.069118	0.17867	0.851447	3776	3	0.175561743	-3.7	
BPIFA2	5	0.12076	0.25577	1	3936	2	0.22541	0.40827	0.991173	7417	2	0.592150397	-3.7	
BPIFA3	5	0.67617	0.75045	1	11124	1	0.25221	0.44398	1	7955	3	0.124678238	-3.7	
BPIFB1	5	0.55211	0.6899	1	9851	1	0.92743	0.92821	1	15215	0	0.161213855	-3.7	
BPIFB2	5	0.97116	0.97123	1	16858	0	0.018764	0.060558	0.714565	1524	4	0.012677911	-3.7	
