Cell_line	Sample	Replicate	Name	Source	Primary.Disease	Subtype	Primary_Site	Culture_medium	Primary_Metastasis	Cas9.activity	Median.CRISPR.guide.score.of.positive.controls	p53.Status	p53.Source
CORL105	COR.L105.311cas9.Rep.D.p8	D	CORL105_LUNG	ECACC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	84.7	-0.7043	WT	COSMIC
CORL105	COR.L105.311cas9.Rep.A.p8	A	CORL105_LUNG	ECACC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	84.7	-0.7043	WT	COSMIC
CORL105	COR.L105.311cas9.Rep.B.p8	B	CORL105_LUNG	ECACC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	84.7	-0.7043	WT	COSMIC
EW8	EW8.311cas9.Rep.B.P6	B	EW8_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	DMEM; 10% FBS; 2mM L-glutamine	NA	56.8	-0.6306	p.Y220C	COSMIC
EW8	EW8.311cas9.Rep.C.P6	C	EW8_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	DMEM; 10% FBS; 2mM L-glutamine	NA	56.8	-0.6306	p.Y220C	COSMIC
EW8	EW8.311cas9.Rep.D.P6	D	EW8_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	DMEM; 10% FBS; 2mM L-glutamine	NA	56.8	-0.6306	p.Y220C	COSMIC
EW8	EW8.311cas9.Rep.A.P6	A	EW8_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	DMEM; 10% FBS; 2mM L-glutamine	NA	56.8	-0.6306	p.Y220C	COSMIC
EWS502	EWS502.311cas9.Rep.A.P6	A	EWS502_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 15% FBS; 2mM glutamine	NA	84.3	-0.7352	p.C135F	PMID: 17425403
EWS502	EWS502.311cas9.Rep.B.P6	B	EWS502_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 15% FBS; 2mM glutamine	NA	84.3	-0.7352	p.C135F	PMID: 17425403
EWS502	EWS502.311cas9.Rep.D.P6	D	EWS502_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 15% FBS; 2mM glutamine	NA	84.3	-0.7352	p.C135F	PMID: 17425403
EWS502	EWS502.311cas9.Rep.C.P6	C	EWS502_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 15% FBS; 2mM glutamine	NA	84.3	-0.7352	p.C135F	PMID: 17425403
G402	G.402.311cas9.Rep.D.p6	D	G402_SOFT_TISSUE	ATCC	Soft Tissue Sarcoma	Rhabdoid	kidney	McCoy's 5A; 10% FBS	primary	81.1	-1.049	WT	CCLE/COSMIC
G402	G.402.311cas9.Rep.B.p6	B	G402_SOFT_TISSUE	ATCC	Soft Tissue Sarcoma	Rhabdoid	kidney	McCoy's 5A; 10% FBS	primary	81.1	-1.049	WT	CCLE/COSMIC
G402	G.402.311cas9.Rep.A.p6	A	G402_SOFT_TISSUE	ATCC	Soft Tissue Sarcoma	Rhabdoid	kidney	McCoy's 5A; 10% FBS	primary	81.1	-1.049	WT	CCLE/COSMIC
G402	G.402.311cas9.Rep.C.p6	C	G402_SOFT_TISSUE	ATCC	Soft Tissue Sarcoma	Rhabdoid	kidney	McCoy's 5A; 10% FBS	primary	81.1	-1.049	WT	CCLE/COSMIC
HCC44	HCC44.311cas9.Rep.B.p6	B	HCC44_LUNG	DSMZ	Lung NSCLC	NA	lung	RPMI; 10% FBS	primary	93.3	-0.7782	"p.R175L,p.S94*"	CCLE/COSMIC
HCC44	HCC44.311cas9.Rep.C.p6	C	HCC44_LUNG	DSMZ	Lung NSCLC	NA	lung	RPMI; 10% FBS	primary	93.3	-0.7782	"p.R175L,p.S94*"	CCLE/COSMIC
HCC44	HCC44.311cas9.Rep.D.p6	D	HCC44_LUNG	DSMZ	Lung NSCLC	NA	lung	RPMI; 10% FBS	primary	93.3	-0.7782	"p.R175L,p.S94*"	CCLE/COSMIC
HCC44	HCC44.311cas9.Rep.A.p6	A	HCC44_LUNG	DSMZ	Lung NSCLC	NA	lung	RPMI; 10% FBS	primary	93.3	-0.7782	"p.R175L,p.S94*"	CCLE/COSMIC
HT29	HT.29.311cas9.Rep.A.p6	A	HT29_LARGE_INTESTINE	ATCC	Colon	Colon adenocarcinoma	large_intestine	McCoy's 5A; 10% FBS	primary	85.2	-0.7317	p.R273H	CCLE/COSMIC
HT29	HT.29.311cas9.Rep.C.p6	C	HT29_LARGE_INTESTINE	ATCC	Colon	Colon adenocarcinoma	large_intestine	McCoy's 5A; 10% FBS	primary	85.2	-0.7317	p.R273H	CCLE/COSMIC
HT29	HT.29.311cas9.Rep.D.p6	D	HT29_LARGE_INTESTINE	ATCC	Colon	Colon adenocarcinoma	large_intestine	McCoy's 5A; 10% FBS	primary	85.2	-0.7317	p.R273H	CCLE/COSMIC
HT29	HT.29.311cas9.Rep.B.p6	B	HT29_LARGE_INTESTINE	ATCC	Colon	Colon adenocarcinoma	large_intestine	McCoy's 5A; 10% FBS	primary	85.2	-0.7317	p.R273H	CCLE/COSMIC
K562	K562.311cas9.Rep.D.p5	D	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ATCC	Leukemia	CML-BC myeloid	haematopoietic_and_lymphoid_tissue	IMDM; 10% FBS	metastasis	46.8	-0.8561	p.Q136fs	CCLE/COSMIC
K562	K562.311cas9.Rep.B.p5	B	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ATCC	Leukemia	CML-BC myeloid	haematopoietic_and_lymphoid_tissue	IMDM; 10% FBS	metastasis	46.8	-0.8561	p.Q136fs	CCLE/COSMIC
K562	K562.311cas9.Rep.C.p5	C	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ATCC	Leukemia	CML-BC myeloid	haematopoietic_and_lymphoid_tissue	IMDM; 10% FBS	metastasis	46.8	-0.8561	p.Q136fs	CCLE/COSMIC
K562	K562.311cas9.Rep.A.p5	A	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ATCC	Leukemia	CML-BC myeloid	haematopoietic_and_lymphoid_tissue	IMDM; 10% FBS	metastasis	46.8	-0.8561	p.Q136fs	CCLE/COSMIC
L33	L3.3.311Cas9.Rep.B.p7	B	L33_PANCREAS	Academic Lab / Project Achilles	Pancreas	Pancreas carcinoma	pancreas	DMEM; 10% FBS; 1mM Sodium pyruvate; 1mM NEAA; 2mM glutamine	primary	48.1	-0.2261	p.P89fs	CCLE
L33	L3.3.311Cas9.Rep.A.p7	A	L33_PANCREAS	Academic Lab / Project Achilles	Pancreas	Pancreas carcinoma	pancreas	DMEM; 10% FBS; 1mM Sodium pyruvate; 1mM NEAA; 2mM glutamine	primary	48.1	-0.2261	p.P89fs	CCLE
L33	L3.3.311Cas9.Rep.C.p7	C	L33_PANCREAS	Academic Lab / Project Achilles	Pancreas	Pancreas carcinoma	pancreas	DMEM; 10% FBS; 1mM Sodium pyruvate; 1mM NEAA; 2mM glutamine	primary	48.1	-0.2261	p.P89fs	CCLE
L33	L3.3.311Cas9.Rep.D.p7	D	L33_PANCREAS	Academic Lab / Project Achilles	Pancreas	Pancreas carcinoma	pancreas	DMEM; 10% FBS; 1mM Sodium pyruvate; 1mM NEAA; 2mM glutamine	primary	48.1	-0.2261	p.P89fs	CCLE
MHHES1	MHH.ES.1.311Cas9.Rep.C.p6	C	MHHES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	NA	61.4	-0.6902	p.S215del	CCLE/COSMIC
MHHES1	MHH.ES.1.311Cas9.Rep.B.p6	B	MHHES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	NA	61.4	-0.6902	p.S215del	CCLE/COSMIC
MHHES1	MHH.ES.1.311Cas9.Rep.D.p6	D	MHHES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	NA	61.4	-0.6902	p.S215del	CCLE/COSMIC
MHHES1	MHH.ES.1.311Cas9.Rep.A.p6	A	MHHES1_BONE	DSMZ	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	NA	61.4	-0.6902	p.S215del	CCLE/COSMIC
NCIH1373	NCI.H1373.311Cas9.Rep.C.p8	C	NCIH1373_LUNG	ATCC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	86.7	-1.201	p.E339*	CCLE
NCIH1373	NCI.H1373.311Cas9.Rep.A.p8	A	NCIH1373_LUNG	ATCC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	86.7	-1.201	p.E339*	CCLE
NCIH1373	NCI.H1373.311Cas9.Rep.D.p8	D	NCIH1373_LUNG	ATCC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	86.7	-1.201	p.E339*	CCLE
NCIH1373	NCI.H1373.311Cas9.Rep.B.p8	B	NCIH1373_LUNG	ATCC	Lung NSCLC	Lung adenocarcinoma	lung	RPMI; 10% FBS	primary	86.7	-1.201	p.E339*	CCLE
NCIH2009	NCI.H2009.311Cas9.Rep.C.p7	C	NCIH2009_LUNG	ATCC	Lung NSCLC	Lung adenocarcinoma	lung	"DMEM:HAM's F12 (1:1); 5% FBS; .005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	metastasis	89.7	-1.028	p.R273L	CCLE/COSMIC
NCIH2009	NCI.H2009.311Cas9.Rep.A.p7	A	NCIH2009_LUNG	ATCC	Lung NSCLC	Lung adenocarcinoma	lung	"DMEM:HAM's F12 (1:1); 5% FBS; .005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	metastasis	89.7	-1.028	p.R273L	CCLE/COSMIC
NCIH2009	NCI.H2009.311Cas9.Rep.B.p7	B	NCIH2009_LUNG	ATCC	Lung NSCLC	Lung adenocarcinoma	lung	"DMEM:HAM's F12 (1:1); 5% FBS; .005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	metastasis	89.7	-1.028	p.R273L	CCLE/COSMIC
PATU8988T	PA.TU.8988T.311cas9.Rep.B.p8	B	PATU8988T_PANCREAS	DSMZ	Pancreas	Pancreas ductal carcinoma	pancreas	DMEM; 10% FBS	NA	80	-0.7062	p.R282W	COSMIC
PATU8988T	PA.TU.8988T.311cas9.Rep.C.p8	C	PATU8988T_PANCREAS	DSMZ	Pancreas	Pancreas ductal carcinoma	pancreas	DMEM; 10% FBS	NA	80	-0.7062	p.R282W	COSMIC
PATU8988T	PA.TU.8988T.311cas9.Rep.D.p8	D	PATU8988T_PANCREAS	DSMZ	Pancreas	Pancreas ductal carcinoma	pancreas	DMEM; 10% FBS	NA	80	-0.7062	p.R282W	COSMIC
PATU8988T	PA.TU.8988T.311cas9.Rep.A.p8	A	PATU8988T_PANCREAS	DSMZ	Pancreas	Pancreas ductal carcinoma	pancreas	DMEM; 10% FBS	NA	80	-0.7062	p.R282W	COSMIC
PC3	PC.3.311Cas9.Rep.B.p6	B	PC3_PROSTATE	ATCC	Prostate	Prostate adenocarcinoma	prostate	Hams F-12; 10% FBS	metastasis	58.4	-0.2289	p.K139f	CCLE/COSMIC
PC3	PC.3.311Cas9.Rep.C.p6	C	PC3_PROSTATE	ATCC	Prostate	Prostate adenocarcinoma	prostate	Hams F-12; 10% FBS	metastasis	58.4	-0.2289	p.K139f	CCLE/COSMIC
PC3	PC.3.311Cas9.Rep.D.p6	D	PC3_PROSTATE	ATCC	Prostate	Prostate adenocarcinoma	prostate	Hams F-12; 10% FBS	metastasis	58.4	-0.2289	p.K139f	CCLE/COSMIC
PC3	PC.3.311Cas9.Rep.A.p6	A	PC3_PROSTATE	ATCC	Prostate	Prostate adenocarcinoma	prostate	Hams F-12; 10% FBS	metastasis	58.4	-0.2289	p.K139f	CCLE/COSMIC
RDES	RD.ES.311Cas9.Rep.A.p5	A	RDES_BONE	ATCC	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	primary	88.3	-0.7638	p.R273C	PMID: 25223734
RDES	RD.ES.311Cas9.Rep.B.p5	B	RDES_BONE	ATCC	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	primary	88.3	-0.7638	p.R273C	PMID: 25223734
RDES	RD.ES.311Cas9.Rep.C.p5	C	RDES_BONE	ATCC	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	primary	88.3	-0.7638	p.R273C	PMID: 25223734
RDES	RD.ES.311Cas9.Rep.D.p5	D	RDES_BONE	ATCC	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; pen/ strep	primary	88.3	-0.7638	p.R273C	PMID: 25223734
SKES1	SK.ES.1.311Cas9.Rep.A.p5	A	SKES1_BONE	ATCC	Bone sarcoma	Ewings	bone	McCoy's 5A; 15% FBS	NA	58	-0.4038	p.C176F	CCLE/COSMIC
SKES1	SK.ES.1.311Cas9.Rep.B.p5	B	SKES1_BONE	ATCC	Bone sarcoma	Ewings	bone	McCoy's 5A; 15% FBS	NA	58	-0.4038	p.C176F	CCLE/COSMIC
SKES1	SK.ES.1.311Cas9.Rep.C.p5	C	SKES1_BONE	ATCC	Bone sarcoma	Ewings	bone	McCoy's 5A; 15% FBS	NA	58	-0.4038	p.C176F	CCLE/COSMIC
SKES1	SK.ES.1.311Cas9.Rep.D.p5	D	SKES1_BONE	ATCC	Bone sarcoma	Ewings	bone	McCoy's 5A; 15% FBS	NA	58	-0.4038	p.C176F	CCLE/COSMIC
SU8686	SU.86.86.311cas9.Rep.A.p7	A	SU8686_PANCREAS	ATCC	Pancreas	Pancreas ductal carcinoma	pancreas	RPMI; 10% FBS	primary	89.8	-0.8601	"p.G245S,p.G360V"	CCLE/COSMIC
SU8686	SU.86.86.311cas9.Rep.B.p7	B	SU8686_PANCREAS	ATCC	Pancreas	Pancreas ductal carcinoma	pancreas	RPMI; 10% FBS	primary	89.8	-0.8601	"p.G245S,p.G360V"	CCLE/COSMIC
SU8686	SU.86.86.311cas9.Rep.C.P7	C	SU8686_PANCREAS	ATCC	Pancreas	Pancreas ductal carcinoma	pancreas	RPMI; 10% FBS	primary	89.8	-0.8601	"p.G245S,p.G360V"	CCLE/COSMIC
SU8686	SU.86.86.311cas9.Rep.D.P7	D	SU8686_PANCREAS	ATCC	Pancreas	Pancreas ductal carcinoma	pancreas	RPMI; 10% FBS	primary	89.8	-0.8601	"p.G245S,p.G360V"	CCLE/COSMIC
T47D	T.47D.311Cas9.Rep.A.p6	A	T47D_BREAST	ATCC	Breast	Breast ductal carcinoma	breast	RPMI; 10% FBS; 0.2u/ml Bovine Insulin	metastasis	68	-0.4908	p.L194F	CCLE/COSMIC
T47D	T.47D.311Cas9.Rep.B.p6	B	T47D_BREAST	ATCC	Breast	Breast ductal carcinoma	breast	RPMI; 10% FBS; 0.2u/ml Bovine Insulin	metastasis	68	-0.4908	p.L194F	CCLE/COSMIC
T47D	T.47D.311Cas9.Rep.C.p6	C	T47D_BREAST	ATCC	Breast	Breast ductal carcinoma	breast	RPMI; 10% FBS; 0.2u/ml Bovine Insulin	metastasis	68	-0.4908	p.L194F	CCLE/COSMIC
T47D	T.47D.311Cas9.Rep.D.p6	D	T47D_BREAST	ATCC	Breast	Breast ductal carcinoma	breast	RPMI; 10% FBS; 0.2u/ml Bovine Insulin	metastasis	68	-0.4908	p.L194F	CCLE/COSMIC
TC32	TC32.311Cas9.Rep.A.p6	A	TC32_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; 2mM glutamine	NA	57.7	-0.6832	WT	PMID:  24312454
TC32	TC32.311Cas9.Rep.B.p6	B	TC32_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; 2mM glutamine	NA	57.7	-0.6832	WT	PMID:  24312454
TC32	TC32.311Cas9.Rep.C.p6	C	TC32_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; 2mM glutamine	NA	57.7	-0.6832	WT	PMID:  24312454
TC32	TC32.311Cas9.Rep.D.p6	D	TC32_BONE	Academic Lab / Project Achilles	Bone sarcoma	Ewings	bone	RPMI; 10% FBS; 2mM glutamine	NA	57.7	-0.6832	WT	PMID:  24312454
TC71	TC.71.311Cas9.Rep.A.p6	A	TC71_BONE	DSMZ	Bone sarcoma	Ewings	bone	IMDM; 10% FBS	primary	57.4	-0.2897	p.R213*	CCLE/COSMIC
TC71	TC.71.311Cas9.Rep.B.p6	B	TC71_BONE	DSMZ	Bone sarcoma	Ewings	bone	IMDM; 10% FBS	primary	57.4	-0.2897	p.R213*	CCLE/COSMIC
TC71	TC.71.311Cas9.Rep.C.p6	C	TC71_BONE	DSMZ	Bone sarcoma	Ewings	bone	IMDM; 10% FBS	primary	57.4	-0.2897	p.R213*	CCLE/COSMIC
TC71	TC.71.311Cas9.Rep.D.p6	D	TC71_BONE	DSMZ	Bone sarcoma	Ewings	bone	IMDM; 10% FBS	primary	57.4	-0.2897	p.R213*	CCLE/COSMIC
TOV112D	TOV112D.311Cas9.Rep.A.p6	A	TOV112D_OVARY	ATCC	Ovarian	Endometrioid carcinoma	ovary	MCDB 105:Medium 199 (1:1); 15% FBS; 1.5g/L NaHCO2	primary	47.6	-0.4472	p.R175H	COSMIC
TOV112D	TOV112D.311Cas9.Rep.B.p6	B	TOV112D_OVARY	ATCC	Ovarian	Endometrioid carcinoma	ovary	MCDB 105:Medium 199 (1:1); 15% FBS; 1.5g/L NaHCO2	primary	47.6	-0.4472	p.R175H	COSMIC
TOV112D	TOV112D.311Cas9.Rep.C.p6	C	TOV112D_OVARY	ATCC	Ovarian	Endometrioid carcinoma	ovary	MCDB 105:Medium 199 (1:1); 15% FBS; 1.5g/L NaHCO2	primary	47.6	-0.4472	p.R175H	COSMIC
TOV112D	TOV112D.311Cas9.Rep.D.p6	D	TOV112D_OVARY	ATCC	Ovarian	Endometrioid carcinoma	ovary	MCDB 105:Medium 199 (1:1); 15% FBS; 1.5g/L NaHCO2	primary	47.6	-0.4472	p.R175H	COSMIC
